author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308518253/;Москва;sale;flat;24;58;3;112.0;61300000;-1;-1;-1;-1;-1;77 м²;30 м²;+79651883932;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/307204736/;Москва;sale;flat;4;19;4;110.0;63000000;2021;-1;-1;-1;-1;85 м²;16 м²;+79660593738;Пресненский;Красногвардейский бульвар;15С2;Улица 1905 года;Счастье на Пресне
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308233836/;Москва;sale;flat;6;11;3;101.6;130000000;-1;-1;-1;-1;-1;70 м²;14 м²;+79645665925;Хамовники; Усачева;2С3;Фрунзенская;Фьюжн парк
