author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/307947777/;Москва;sale;flat;41;41;4;165.0;230000000;2024;-1;-1;-1;-1;57,9 м²;50 м²;+79645504947;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106392/;Москва;sale;flat;4;6;3;219.4;316240088;2009;-1;-1;-1;-1;-1;20 м²;+79684858420;Хамовники; Остоженка;11;Кропоткинская;Остоженка 11
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/306841214/;Москва;sale;flat;18;21;4;272.0;400000000;2023;-1;-1;-1;-1;141,7 м²;22 м²;+79165754905;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
