author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307909463/;Москва;sale;flat;14;23;4;201.0;105000000;2014;-1;-1;-1;-1;100 м²;15 м²;+79660559819;Раменки;Мичуринский проспект;26;Раменки;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289779271/;Москва;sale;flat;4;8;3;70.0;65823293;1941;-1;-1;-1;-1;-1;8 м²;+79168080390;Хамовники;Смоленский бульвар;22/14;Смоленская;
Forma;developer;https://www.cian.ru/sale/flat/308937865/;Москва;sale;flat;9;29;3;82.3;34166680;2028;-1;Монолитный;-1;Без отделки, предчистовая;37,1 м²;-1;+74951378427;Печатники;;;Нагатинский Затон;Портлэнд ЖК
