author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300707953/;Москва;sale;flat;8;11;3;55.1;43000000;2022;-1;-1;-1;-1;35 м²;-1;+79660531281;Басманный; Казакова;7;Курская;KAZAKOV Grand Loft
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306081332/;Москва;sale;flat;8;37;3;66.3;46300000;2023;-1;-1;-1;-1;55,3 м²;6 м²;+79660472653;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
Prime;real_estate_agent;https://www.cian.ru/sale/flat/305869279/;Москва;sale;flat;14;34;3;84.7;72000000;-1;-1;-1;-1;-1;-1;10 м²;+79660644026;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/308397375/;Москва;sale;flat;7;15;4;169.2;77000000;1999;-1;-1;-1;-1;-1;16,4 м²;+79152664550;Мещанский; Гиляровского;7;Сухаревская;
