author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/307602202/;Москва;sale;flat;9;10;3;172.0;196650000;2007;-1;-1;-1;-1;-1;15 м²;+79645655396;Якиманка; Малая Полянка;2;Полянка;Онегин
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/307602204/;Москва;sale;flat;9;10;3;185.0;211600000;2007;-1;-1;-1;-1;-1;15 м²;+79645655396;Якиманка; Малая Полянка;2;Полянка;Онегин
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/307315277/;Москва;sale;flat;17;17;3;89.6;22200000;2022;-1;-1;-1;-1;48,4 м²;20 м²;+79852880518;; Никитина;11к1;Рассказовка;
Trust Realty;real_estate_agent;https://www.cian.ru/sale/flat/308262153/;Москва;sale;flat;5;17;3;117.0;64350000;2001;-1;-1;-1;-1;100 м²;10 м²;+79660548269;Мещанский;Слесарный переулок;3;Проспект Мира;
