author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308072905/;Москва;sale;flat;1;17;3;73.0;25500000;1997;-1;-1;-1;-1;-1;9 м²;+79660610651;Черемушки; Наметкина;9К3;Новые Черёмушки;
ID 74438895;realtor;https://www.cian.ru/sale/flat/307668521/;Москва;sale;flat;8;29;3;80.7;25800550;2025;-1;-1;-1;Чистовая;-1;-1;+79850229651;Южнопортовый;Волгоградский проспект;32/3к4;Угрешская;Метрополия
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308556938/;Москва;sale;flat;2;24;3;60.1;25700000;2018;-1;-1;-1;-1;-1;16,4 м²;+79645659551;Хорошево-Мневники;проспект Маршала Жукова;37К2;Народное Ополчение;Wellton park
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/307749419/;Москва;sale;flat;2;23;3;60.0;29900000;2024;-1;-1;-1;-1;34 м²;10 м²;+79660593738;Хорошевский;9Ак7;9Ак7;Зорге;Зорге 9 ЖК
