author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307783036/;Москва;sale;flat;8;12;3;94.6;57000000;2001;-1;-1;-1;-1;-1;10 м²;+79031354467;Якиманка;Конный переулок;4;Шаболовская;
VESPER;developer;https://www.cian.ru/sale/flat/308110878/;Москва;sale;flat;3;4;4;424.6;976580000;2027;-1;-1;-1;С отделкой;-1;-1;+74951346294;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308087811/;Москва;sale;flat;6;8;4;160.0;192000000;2004;-1;-1;-1;-1;87 м²;10 м²;+79660472713;Пресненский;Малый Козихинский переулок;7;Пушкинская;
