author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294031984/;Москва;sale;flat;5;7;3;160.0;183000000;2019;-1;-1;-1;-1;-1;25 м²;+79057122519;Якиманка; Большая Полянка;44;Полянка;Полянка/44
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307477078/;Москва;sale;flat;5;6;4;157.4;250000000;-1;-1;-1;-1;-1;75 м²;25 м²;+79660616431;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
3SGroup;developer;https://www.cian.ru/sale/flat/299381153/;Москва;sale;flat;7;17;3;65.6;16463809;2026;-1;-1;-1;Без отделки;35,4 м²;15,7 м²;+74951374320;;;;Корниловская;FOREVILLE
