author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Славянка - офис Северо-Запад;real_estate_agent;https://www.cian.ru/sale/flat/248994960/;Москва;sale;flat;3;7;3;110.0;98000000;-1;-1;-1;-1;-1;56 м²;17 м²;+79057303505;Тверской; Фадеева;4А;Новослободская;Итальянский Квартал
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/295370167/;Москва;sale;flat;2;6;3;110.5;99000000;1912;-1;-1;-1;-1;61 м²;15 м²;+79060406184;Пресненский;Малая Бронная ;32;Маяковская;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/307254751/;Москва;sale;flat;5;21;3;120.0;115000000;-1;-1;-1;-1;-1;-1;20 м²;+79175745176;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298534726/;Москва;sale;flat;40;51;3;78.0;36700000;2020;-1;-1;-1;-1;-1;-1;+79154100775;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
