author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Century21 Феникс;real_estate_agent;https://www.cian.ru/sale/flat/299560153/;Москва;sale;flat;7;17;3;72.0;14000000;-1;-1;-1;-1;-1;57 м²;10 м²;+79653270804;; 40 лет Октября;15/1;Щербинка;Калипсо
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298324612/;Москва;sale;flat;3;9;3;62.9;14500000;1973;-1;-1;-1;-1;43,5 м²;7 м²;+79645663682;Восточное Дегунино;Дубнинская ;2К1;Верхние Лихоборы;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308942493/;Москва;sale;flat;6;9;3;58.6;16000000;1971;-1;-1;-1;-1;-1;6 м²;+79660591895;Восточное Дегунино;Дубнинская ;10К3;Дегунино;
