author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302739670/;Москва;sale;flat;3;42;4;89.5;51500000;-1;-1;-1;-1;-1;50 м²;12 м²;+79104001266;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301132027/;Москва;sale;flat;22;39;3;83.6;52000000;2022;-1;-1;-1;-1;-1;7 м²;+79851239069;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302309976/;Москва;sale;flat;5;12;3;84.1;52100000;2023;-1;-1;-1;-1;-1;-1;+79154100775;Сокол; Врубеля;4к1;Сокол;Врубеля 4
