author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303542659/;Москва;sale;flat;7;25;3;99.0;66900000;2021;-1;-1;-1;-1;36 м²;29,5 м²;+79660504300;Раменки; Янковского;1к1;Аминьевская;Событие
Ташир;developer;https://www.cian.ru/sale/flat/272333560/;Москва;sale;flat;11;21;3;74.5;;2020;-1;Монолитный;-1;Предчистовая, черновая, чистовая;46,9 м²;7,8 м²;+74951347269;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/292500097/;Москва;sale;flat;7;21;3;82.0;103000000;2022;-1;-1;-1;-1;-1;-1;+79680709691;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
3SGroup;developer;https://www.cian.ru/sale/flat/304988890/;Москва;sale;flat;3;17;3;65.6;15138253;2026;-1;-1;-1;Без отделки;35,4 м²;15,7 м²;+74951374320;;;;Корниловская;FOREVILLE
