author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308335555/;Москва;sale;flat;26;26;4;250.0;64850000;2005;-1;-1;-1;-1;100 м²;5 м²;+79060440294;Тропарево-Никулино; Коштоянца;20К4;Юго-Западная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297727468/;Москва;sale;flat;7;20;4;177.8;77000000;2005;-1;-1;-1;-1;98 м²;17 м²;+79645890434;Черемушки;Новочеремушкинская ;44К3;Профсоюзная;Адмирал
ID 9216616;homeowner;https://www.cian.ru/sale/flat/308180856/;Москва;sale;flat;3;23;4;132.0;78000000;2008;-1;-1;-1;-1;79,1 м²;20 м²;+79151198152;Раменки;Мичуринский проспект;34;Раменки;
