author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308753165/;Москва;sale;flat;6;11;4;168.3;249000000;2012;-1;-1;-1;-1;-1;20 м²;+79168080401;Хамовники;2-я Фрунзенская ;8;Фрунзенская;Андреевский
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/300250559/;Москва;sale;flat;3;5;4;300.0;495000000;2014;-1;-1;-1;-1;-1;-1;+79067527603;Хамовники;Нащокинский переулок;7;Кропоткинская;Академия
Capital Group;developer;https://www.cian.ru/sale/flat/300285577/;Москва;sale;flat;4;30;3;142.8;56000000;2020;-1;-1;-1;Без отделки;-1;-1;+74951377286;Якиманка;Мытная ;40к1;Серпуховская;Sky House
MR Group;developer;https://www.cian.ru/sale/flat/307788179/;Москва;sale;flat;18;47;3;81.43;37261472;2027;-1;Монолитный;-1;Предчистовая;-1;-1;+74951377313;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
