author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Группа Родина;developer;https://www.cian.ru/sale/flat/291114499/;Москва;sale;flat;2;23;3;84.6;39369800;2025;-1;-1;-1;Без отделки;-1;23,7 м²;+74951374518;Ростокино;;к4;Ботанический сад;Союз ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/300822468/;Москва;sale;flat;5;21;3;117.0;114000000;2022;-1;-1;-1;-1;-1;-1;+79645365786;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308640033/;Москва;sale;flat;5;5;4;234.0;150000000;-1;-1;-1;-1;-1;120 м²;20,4 м²;+79858655936;Покровское-Стрешнево;Береговая ;8К1;Стрешнево;
