author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/308100069/;Москва;sale;flat;11;13;4;120.0;58000000;1980;-1;-1;-1;-1;70,3 м²;10,7 м²;+79688322976;Пресненский;Большая Грузинская ;39;Белорусская;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300101711/;Москва;sale;flat;5;6;3;107.0;60000000;-1;-1;-1;-1;-1;67 м²;15 м²;+79670580817;Красносельский;Сретенский бульвар;6/1С2;Тургеневская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/296524128/;Москва;sale;flat;15;20;4;125.0;62000000;2024;-1;-1;-1;Без отделки;76,8 м²;22,2 м²;+79653037353;Раменки;Кинематографический кв-л;;Аминьевская;Событие ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/307965569/;Москва;sale;flat;26;48;3;106.7;91000000;2022;-1;-1;-1;-1;-1;-1;+79645659551;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
