author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/298970418/;Москва;sale;flat;6;25;4;98.0;46000000;-1;-1;-1;-1;-1;-1;-1;+79057122519;Раменки; Янковского;1к2;Аминьевская;Событие
AR Realty - Real Estate Agency;real_estate_agent;https://www.cian.ru/sale/flat/303280779/;Москва;sale;flat;11;20;3;117.1;46500000;2019;-1;-1;-1;-1;-1;-1;+79660479772;Свиблово;проезд Серебрякова;11к1;Ботанический сад;Silver
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300368969/;Москва;sale;flat;37;46;4;110.0;47800000;2023;-1;-1;-1;-1;43,6 м²;41,6 м²;+79164725525;Даниловский;Дубининская ;59А;Павелецкая;Павелецкая Сити
