author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301003551/;Москва;sale;flat;5;6;4;269.6;799000000;2022;-1;-1;-1;-1;125 м²;30 м²;+79689979793;Якиманка; Большая Полянка;9С1;Полянка;Cloud Nine
МИЭЛЬ офис В Солнечногорске;real_estate_agent;https://www.cian.ru/sale/flat/307535888/;Москва;sale;flat;17;17;3;74.0;22000000;-1;-1;-1;-1;-1;45 м²;10 м²;+79645797626;Марьино; Верхние Поля;40К1;Люблино;
Акрополь;real_estate_agent;https://www.cian.ru/sale/flat/308430069/;Москва;sale;flat;12;17;3;73.0;22000000;2005;-1;-1;-1;-1;41 м²;10 м²;+79645660796;Чертаново Северное;Балаклавский проспект;3;Чертановская;
