author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301671966/;Москва;sale;flat;28;31;4;204.9;153000000;-1;-1;-1;-1;-1;-1;-1;+79100016902;Очаково-Матвеевское;Нежинская ;1к2;Давыдково;Кутузовская Ривьера
Архитектура Счастья;real_estate_agent;https://www.cian.ru/sale/flat/308055880/;Москва;sale;flat;6;9;4;149.0;152800000;2019;-1;-1;-1;-1;82 м²;38 м²;+79660532180;Раменки;Мосфильмовская ;1к6;Ломоносовский проспект;Вишневый сад
ДВОКОМ;real_estate_agent;https://www.cian.ru/sale/flat/306786106/;Москва;sale;flat;1;12;3;62.2;11850000;1977;-1;-1;-1;-1;39,1 м²;8,4 м²;+79162739162;Бибирево; Корнейчука;24;Бибирево;
