author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
RMRealty;real_estate_agent;https://www.cian.ru/sale/flat/307967977/;Москва;sale;flat;3;14;3;93.0;64900000;2023;-1;-1;-1;-1;-1;35 м²;+79852068469;Раменки;проспект Генерала Дорохова;39к1В;Минская;Собрание клубных домов West Garden
COLDY;developer;https://www.cian.ru/sale/flat/303330161/;Москва;sale;flat;4;15;3;112.49;85627388;2027;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387020;Даниловский; Серпуховский Вал;7;Тульская;Дом 7 Даниловский
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306447297/;Москва;sale;flat;13;21;3;130.0;155000000;-1;-1;-1;-1;-1;-1;20 м²;+79154194704;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
